objectid,title,filename,localid,repositoryid,repositoryname,repositorylocation,creationdate,recorddate,extent,physicalextent,creator,scopeandcontent,physicalaccess,useconditions,language,acquisition,rightsstatement,format,filesize
tally_1,Parker Carroll Milit tallystick,1501021001,OA.9443,mm.domus.SE073,The British Museum,"London, England",circa 1800-1899,"1808, 1804, 1824, 1824",2 items,63 cm x 2.50 cm x 2.72 cm,Parker Carroll,"Both halves of a tallystick, one half belonged to Colonel Parker Carroll and the other half belonged to an unknown entity. The tallystick was created and split sometime in the 19th century in the British Isles to mark a monetary transaction that had or would occur at the time of its creation. The dates of July 5th 1824, April 9th 1825, August 16th 1808, July 24th 1814, and April 19th 1825 are noted in the ink inscription on one side of one half of the tallystick. There is a half notch and grooves above a series of eight notches and six grooves below the eight notches meant to indicate the price of the transaction.",On display,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,Materials entirely in Latin,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,JPG,149 KB
tally_2,Philip Cern tallystick,1489893001,19220508.1,mm.domus.SE073,The British Museum,"London, England",circa 1226-1275,1922,1 item,18 cm,Philip Cern,"One half of a tallystick, either belonging to Philip Cern of the ""Cumpton Durwill"" or an unknown entity. The tallystick was created and split sometime in between 1226 AD and 1275 AD in the British Isles to mark a monetary transaction that had or would occur at the time of its creation. There is an ink inscription on one side detailing the purpose of the transaction. It was found in Sussex.",Not on display,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,Materials entirely in Latin,Arthur G. Hemming,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,JPG,244 KB
tally_3,Sir Augustus Wollaston Franks tallystick,1489891001,18940926.23,mm.domus.SE073,The British Museum,"London, England",undated,1894,1 item,14.2 cm,,One half of an Exchequer tallystick created and split in the British Isles before the 20th century. There is an ink inscription on one side detailing the purpose of the transaction.,Not on display,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,Materials entirely in Latin,Sir Augustus Wollaston Franks,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,JPG,149 KB
tally_4,Samuel Chollet Poen tallystick,1134760001,OA.9445,mm.domus.SE073,The British Museum,"London, England",circa 1800-1899,"1808, 1825, 1826",1 item,67.3 cm x 2.8 cm x 1.48 cm,Samuel Chollet,"One half of a tallystick, either belonging to Samuel Chollet or an unknown entity. The tallystick was created and split sometime in the 19th century in the British Isles to mark a monetary transaction that had or would occur at the time of its creation. The dates of February 3rd 1826, February 10th 1826, December 7th 1825, and 1808 are included in the ink inscription on one side of the tallystick. There are four notches and a groove on top and ten and a half notches on the bottom indicating the price of the transaction.",On display,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,Materials entirely in Latin,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,JPG,546 KB
tally_5,Mr. W. Rea tallystick,large_smg00051432,1889-36,mm.domus.SE507,Science Museum Group,"London, England",1812,,1 item,,,One half of an Exchequer tallystick made in 1812 in London. The tallystick was created and split in the British Isles to mark a monetary transaction that had or would occur at the time of its creation in 1812. The three grooves on one side indicate the price of the transaction. The identities of those involved in the transaction are not known.,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,No linguistic content,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,JPG,35.9 KB
tally_6,Miss Bulley tallysticks,large_1860_0030,1860-30,mm.domus.SE507,Science Museum Group,"London, England",1822,,2 items,"10 mm x 465 mm x 30 mm, 10 mm x 580 mm x 35 mm",,Both halves of an Exchequer tallystick made in 1822 in London. The tallystick was created and split in the British Isles to mark a monetary transaction that had or would occur at the time of its creation. Both halves have five grooves on one side indicating price of the transaction. The identities of those involved in the transaction are not known.,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,Materials entirely in Latin,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,JPG,142 KB
tally_7,Wellcome Trust tallysticks,large_1989_0652,1989-652,mm.domus.SE507,Science Museum Group,"London, England",undated,,2 items,5 mm x 200 mm x 40 mm,,"One half of a tallystick and a label written in ink indicating that this is a ""Baker's Tally."" The tallystick was created and split in the British Isles to mark a monetary transaction that had or would occur at the time of its creation, likely between a baker and their customers. There are 21 notches on one side of the tallystick indicating the price of the transaction. The identities of those involved in the transaction are not known.",,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,Materials entirely in English,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,JPG,282 KB
tally_8,Science Museum Group tallysticks,large_smg0051435,1952-431,mm.domus.SE507,Science Museum Group,"London, England",1440,,16 items,,,"The collection comprises 16 tallysticks, with both halves, one half, and parts of a half indicating single tallysticks. These tallysticks were created and split sometime around 1440 AD in London to mark a monetary transaction that had or would occur at the time of its creation. Each tallystick or partial tallystick is inscribed in ink and contains notches and grooves to indicate the price of the transaction. The identities of those involved in the transactions are not known.",,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,Materials entirely in Latin,,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International (CC BY-NC-SA 4.0) license,JPG,71.3 KB
tally_9,Lynn Museum tallysticks,large_KL0409,KILLM : 1992.4.128,mm.domus.SE111,Lynn Museum,"Norfolk, England",undated,,3 items,58 mm,,"Three pieces of a tallystick belonging to an unknown entity or entities. The tallystick was created and split to mark a monetary transaction that had or would occur at the time of its creation. There are at least 26 notches in total, at least seven notches on one side of one piece, at least eight notches on one side of another piece, and at least eleven notches on one side of another piece indicating the price of the transaction.",,"Images for non-commercial personal and educational use can be downloaded from this website at no charge. Users must be a private individual, charity, trust or other non-profit organisation. We respectfully ask that you credit © Norfolk Museums Service for each image used. Images obtained in this way must not be published or used for any commercial purpose.",No linguistic content,,"Images for non-commercial personal and educational use can be downloaded from this website at no charge. Users must be a private individual, charity, trust or other non-profit organisation. We respectfully ask that you credit © Norfolk Museums Service for each image used. Images obtained in this way must not be published or used for any commercial purpose.",JPG,47.4 KB
tally_10,Museum of Norwich tallystick,large_MONS02024,NWHCM : 1836.67,mm.domus.SE102,Museum of Norwich at the Bridewall,"Norwich, England",circa 1600-1699,,1 item,270 mm,,"One tallystick created and split sometime in the 17th century. The letters ""CR"" are engraved on one side and multiple notches carved into the other. The purpose of the tallystick or the entities to which it belonged are unknown.",,"Images for non-commercial personal and educational use can be downloaded from this website at no charge. Users must be a private individual, charity, trust or other non-profit organisation. We respectfully ask that you credit © Norfolk Museums Service for each image used. Images obtained in this way must not be published or used for any commercial purpose.",No linguistic content,,"Images for non-commercial personal and educational use can be downloaded from this website at no charge. Users must be a private individual, charity, trust or other non-profit organisation. We respectfully ask that you credit © Norfolk Museums Service for each image used. Images obtained in this way must not be published or used for any commercial purpose.",JPG,45.4 KB
